p_comments_count,p_caption,p_ig_id,p_is_comment_enabled,p_like_count,p_media_type,p_owner,p_shortcode,p_timestamp,p_username,p_views_count,p_location,p_location_id,c_username,c_timestamp,c_text,c_like_count,c_id,c_parent_id
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,leathereal1,2020-06-20 18:23:08,@leathereal1 college,,17931561253389444,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,leathereal1,2020-06-20 18:23:38,@shanobie_ lemme translate: white privilege lives matter.,1,17862990853917751,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,shanobie_,2020-06-20 18:50:57,@leathereal1 no such thing as white privilege 👍🏻,,17865654049889891,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,a_human_named_liam,2020-06-20 19:25:06,@shanobie_ simp,,17858489605987655,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,shanobie_,2020-06-20 19:25:22,@a_human_named_liam gimp,,17899076941492947,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,kaneshaveli,2020-06-21 02:14:29,@shanobie_ oh we know trust me,,17856944639024795,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,jujukinks,2020-06-22 15:47:16,@shanobie_ they literally don’t???,3,18115979929126824,17925064615405041
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,dante.tracy,2020-06-19 23:12:01,Yessir twitter speaking fax,6,18071684515202972,
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,sobathenoodle,2020-06-19 23:12:28,Ok,1,17850774857103679,
309,,2335286453279405529,True,11963,IMAGE,471188176,CBomqgIgDXZ,2020-06-19 00:00:00,twitter,,,,hhvhccc,2020-06-19 23:12:45,?,1,17868526288823129,
